;inicio;varinicio;varfim;ptv;id;vir;int;real;lit;leia;escreva;literal;num;rcb;opm;se;ab_p;fc_p;entao;opr;fimse;faca_ate;fimfaca;fim;$;P;V;A;LV;D;L;TIPO;ES;ARG;CMD;LD;OPRD;COND;CAB;EXP_R;CP;R;CP_R
0;S2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;;;;Acc;;;;;;;;;;;;;;;;;;
2;;S4;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;
3;;;;;S12;;;;;S10;S11;;;;;S14;;;;;;S63;;S9;;;;5;;;;;6;;7;;;8;13;;;62;
4;;;S17;;S40;;;;;;;;;;;;;;;;;;;;;;;;15;16;18;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;;;;R2;;;;;;;;;;;;;;;;;;
6;;;;;S12;;;;;S10;S11;;;;;S14;;;;;;S63;;S9;;;;22;;;;;6;;7;;;8;13;;;62;
7;;;;;S12;;;;;S10;S11;;;;;S14;;;;;;S63;;S9;;;;23;;;;;6;;7;;;8;13;;;62;
8;;;;;S12;;;;;S10;S11;;;;;S14;;;;;;S63;;S9;;;;24;;;;;6;;7;;;8;13;;;62;
9;;;;;;;;;;;;;;;;;;;;;;;;;R38;;;;;;;;;;;;;;;;;;
10;;;;;S25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;;;;S29;;;;;;;S27;S28;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;
12;;;;;;;;;;;;;;S30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;;;;S12;;;;;S10;S11;;;;;S14;;;;;S35;;;;;;;;;;;;32;;33;;;34;13;;31;;
14;;;;;;;;;;;;;;;;;S36;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;;;;R3;;;;;R3;R3;;;;;R3;;;;;;R3;;R3;;;;;;;;;;;;;;;;;;;
16;;;S17;;S40;;;;;;;;;;;;;;;;;;;;;;;;37;16;18;;;;;;;;;;;;
17;;;;S38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;S19;S20;S21;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;
19;;;;R9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;R10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;;;R11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;;;;;R12;;;;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;;;;;R18;;;;;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;;;;;;;;;;;;R24;;;;;;;;;;;;;;;;;;
25;;;;S41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;;;S42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;;;R15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;R16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;;;R17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;;S45;;;;;;;;S46;;;;;;;;;;;;;;;;;;;;;;;43;44;;;;;;
31;;;;;R25;;;;;R25;R25;;;;;R25;;;;;R25;R25;R25;R25;;;;;;;;;;;;;;;;;;;
32;;;;;S12;;;;;S10;S11;;;;;S14;;;;;S35;;;;;;;;;;;;32;;33;;;34;13;;47;;
33;;;;;S12;;;;;S10;S11;;;;;S14;;;;;S35;;;;;;;;;;;;32;;33;;;34;13;;48;;
34;;;;;S12;;;;;S10;S11;;;;;S14;;;;;S35;;;;;;;;;;;;32;;33;;;34;13;;49;;
35;;;;;R31;;;;;R31;R31;;;;;R31;;;;;R31;R31;R31;R31;;;;;;;;;;;;;;;;;;;
36;;;;;S45;;;;;;;;S46;;;;;;;;;;;;;;;;;;;;;;;;51;;;50;;;
37;;;;;R4;;;;;R4;R4;;;;;R4;;;;;;R4;;R4;;;;;;;;;;;;;;;;;;;
38;;;;;R5;;;;;R5;R5;;;;;R5;;;;;;R5;;R5;;;;;;;;;;;;;;;;;;;
39;;;;S52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;S53;R8;R8;R8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;;;;R13;;;;;R13;R13;;;;;R13;;;;;R13;R13;R13;R13;R13;;;;;;;;;;;;;;;;;;
42;;;;;R14;;;;;R14;R14;;;;;R14;;;;;R14;R14;R14;R14;R14;;;;;;;;;;;;;;;;;;
43;;;;S54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;;;;R21;;;;;;;;;;;S55;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;;;;R22;;;;;;;;;;;R22;;;R22;;R22;;;;;;;;;;;;;;;;;;;;;;;
46;;;;R23;;;;;;;;;;;R23;;;R23;;R23;;;;;;;;;;;;;;;;;;;;;;;
47;;;;;R28;;;;;R28;R28;;;;;R28;;;;;R28;R28;R28;R28;;;;;;;;;;;;;;;;;;;
48;;;;;R29;;;;;R29;R29;;;;;R29;;;;;R29;R29;R29;R29;;;;;;;;;;;;;;;;;;;
49;;;;;R30;;;;;R30;R30;;;;;R30;;;;;R30;R30;R30;R30;;;;;;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;;;;;S56;;;;;;;;;;;;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;;;;;;;S57;;;;;;;;;;;;;;;;;;;;;;;
52;;;R6;;R6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;;;;;S40;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;;
54;;;;;R19;;;;;R19;R19;;;;;R19;;;;;R19;R19;R19;R19;;;;;;;;;;;;;;;;;;;
55;;;;;S45;;;;;;;;S46;;;;;;;;;;;;;;;;;;;;;;;;59;;;;;;
56;;;;;;;;;;;;;;;;;;;S60;;;;;;;;;;;;;;;;;;;;;;;;
57;;;;;S45;;;;;;;;S46;;;;;;;;;;;;;;;;;;;;;;;;61;;;;;;
58;;;;;;;R7;R7;R7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;;;;R20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;;;;;R26;;;;;R26;R26;;;;;R26;;;;;R26;;;;;;;;;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;;;;;R27;;;;;;;;;;;;;;;;;;;;;;;;;
62;;;;;S12;;;;;S10;S11;;;;;S14;;;;;;S63;;S9;;;;75;;;;;6;;7;;;8;13;;;62;
63;;;;;;;;;;;;;;;;;S64;;;;;;;;;;;;;;;;;;;;;;;;;;
64;;;;;S45;;;;;;;;S46;;;;;;;;;;;;;;;;;;;;;;;;51;;;65;;;
65;;;;;;;;;;;;;;;;;;S66;;;;;;;;;;;;;;;;;;;;;;;;;
66;;;;;S12;;;;;S10;S11;;;;;S14;;;;;;;S71;;;;;;;;;;68;;69;;;70;13;;;;67
67;;;;;R33;;;;;R33;R33;;;;;R33;;;;;;R33;;R33;;;;;;;;;;;;;;;;;;;
68;;;;;S12;;;;;S10;S11;;;;;S14;;;;;;;S71;;;;;;;;;;68;;69;;;70;13;;;;72
69;;;;;S12;;;;;S10;S11;;;;;S14;;;;;;;S71;;;;;;;;;;68;;69;;;70;13;;;;73
70;;;;;S12;;;;;S10;S11;;;;;S14;;;;;;;S71;;;;;;;;;;68;;69;;;70;13;;;;74
71;;;;;R37;;;;;R37;R37;;;;;R37;;;;;;R37;;R37;;;;;;;;;;;;;;;;;;;
72;;;;;R34;;;;;R34;R34;;;;;R34;;;;;;R34;;R34;;;;;;;;;;;;;;;;;;;
73;;;;;R35;;;;;R35;R35;;;;;R35;;;;;;R35;;R35;;;;;;;;;;;;;;;;;;;
74;;;;;R36;;;;;R36;R36;;;;;R36;;;;;;R36;;R36;;;;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;;;;;;;;;;;R32;;;;;;;;;;;;;;;;;;
